question,answer
"Q: hi, how do I tell my job that i dont need a Social Security Number to work?. i am a non-taxpayer ","A:Good luck with that. If a person or company wants to hire you as an employee, they are required to obtain a Form W-9 and Form I-9 and to remit payroll taxes. They will need your social security number."
"Q: How can a foreigner create a company in the USA without a physical presence in the USA, i.e. remotely?. What documents are required from the founder? What kind of organizational and legal form should I choose ? A corporation or an LLC? What is more profitable and expedient? How does the taxation of a foreigner in an LLC take place, if, say, I have chosen an LLC institution? What are the fees and registration fees to pay when setting up a company and how does it vary from state to state? What mandatory actions should be performed annually (for example, filing reports, etc.)? How can a foreigner open an account in America for this company? Is it possible to do this remotely? If not, then how do I do it? Who can be the director of this company? Can a foreigner be a director of this company or is it necessary to have a resident director? If a resident director is required, is it allowed in the states to hire a nominee director for this position? How much do the services of a nominee director cost and how does he perform nominee management? ","A:Creating a company in the USA as a foreigner without a physical presence is possible, and I'll provide you with an overview of the process: Choose the Business Structure: You can either establish a Corporation or an LLC (Limited Liability Company). The choice depends on your specific goals and needs. Generally, an LLC is often preferred for its flexibility and simplicity. Registration: You'll need to register your company in the state where you plan to operate. Each state has its own rules and fees, which can vary. Typically, you'll need to file Articles of Organization (for an LLC) or Articles of Incorporation (for a Corporation) with the state authorities. Documents Required: As a foreign founder, you'll need to provide identification documents, such as your passport. Some states may also require you to appoint a Registered Agent with a physical address in that state to receive legal documents. Annual Compliance: Most states require annual reporting and payment of fees to maintain your company's good standing. Failure to do so can lead to penalties or dissolution. Taxation: For tax purposes, you'll need to obtain an Employer Identification Number (EIN) from the IRS, regardless of your chosen business structure. Taxation for foreigners in an LLC is typically as a pass-through entity, meaning profits and losses flow through to your personal tax return. Consult a tax professional for advice tailored to your situation. Bank Account: You can open a US bank account for your company, but the process may vary from bank to bank. Some banks allow remote account opening, while others may require an in-person visit or the assistance of a US-based agent. Directors and Resident Requirements: Typically, a foreigner can be a director of a US company, and there is no requirement for a resident director. However, some banks may prefer a US-based signatory for the company's bank account. Nominee Services: Some states permit the use of nominee directors or managers. The cost of nominee services varies, but it's essential to ensure compliance with state regulations when using such services. Starting a US company remotely is feasible, but it's crucial to research the specific requirements in the state where you plan to establish your business, consider the taxation implications, and consult with professionals to guide you through the process."
Q: Can my girlfriend‘s mother put my dog under her name without my consent?. Dog law ,"A:Under California law, pets are considered personal property. This means that without your consent, it is generally not legal for someone else, including your girlfriend's mother, to claim ownership of your dog or register the dog under her name. Ownership of a pet is typically determined by who purchased the pet, whose name is on registration documents, and who provides care for the pet. If you have evidence that you are the rightful owner, such as receipts for purchase, veterinary bills, or registration documents, these can be crucial in establishing your legal ownership. If your girlfriend's mother has already put the dog under her name without your consent, this could be considered an unauthorized action, and you might need to take legal steps to rectify the situation. In a situation like this, it's advisable to communicate clearly and document your ownership and any communications you have with her mother regarding the dog. If the issue cannot be resolved amicably, you might need to consider legal action to assert your rights as the owner. Consulting with a lawyer who has experience in property or animal law could provide you with guidance on how to proceed. Remember, protecting your legal rights and the well-being of your pet is important in situations like this."
Q: So the city has annexed a distillery that is on a county road which should be out side city limits but they say they. Have the highway county does not allow sales outside Gilmer -city of ellijay - very weird but we are wanting to move in the area with our property but they put up signs and looks horrible ,"A:In your situation, where a city has annexed property that includes a distillery on a county road, there are a few steps you can take to address your concerns. First, it's important to understand the specifics of the annexation process. Typically, a city can annex adjacent areas through legal procedures, but this process should be transparent and follow state and local laws. If you believe the annexation or its consequences (like signage) are inappropriate or have been improperly handled, you can start by contacting local government officials. Inquire about the annexation process, express your concerns, and seek clarification on how decisions were made. Another step is to review the zoning and planning regulations for the area. These documents can provide insight into what is allowed in terms of property use and signage in both the city and the county. If you're planning to move into the area and are concerned about how these changes affect your property, consider speaking with a real estate attorney. They can help you understand your rights as a property owner in this context and advise on possible actions you can take. Remember, local government decisions can often be influenced by residents' feedback. Attending city council meetings and voicing your concerns can also be an effective way to seek change or more information. It's important to stay informed and actively participate in local governance to protect your interests and ensure that your concerns are addressed."
Q: If I have power of attorney over my mom can I sue the nursing home for medicine malpracice. In the state of North Carolina ,"A:This depends on the language in the power of attorney. However, most powers of attorney grant a broad array of powers, including the right of the attorney in fact to initiate litigation on behalf of the principal. Most of our nursing home abuse cases involving a still-living victim are brought by the victim's power of attorney. You should seek out a local nursing home negligence lawyer to assist you in filing suit against the at-fault facility."
"Q: I had a judgement filed against me in MA in 2010, by Target/TD bank.. I don't recall why I ever stopped making agreed upon payments per the court. 13 years later, a debt collector is attempting to collect this debt. My question: If the judgement was in favor of the original creditor, but not the subsequent debt collector, has the statue of limitations risen from 6 years to 20? ","A:Judgments are valid as specified by statute. Apparently in Massachusetts, its 20 years. Once a judgment is obtained, the judgment can be sold a dozen times and the judgment remains enforceable. You may be confusing the statute of limitation within which to bring suit (6 years apparently) with the time frame within which a creditor can enforce the judgment."
"Q: Former apartment manager reported false charges against me to collection agency. some damages I am responsible for which I will pay. But she also made false accusations stating that I'm responsible 4 certain property damages which is not true those damages were already there when I moved in (I have proof - I took pics of previous damages when I moved in & proof of emails I sent them regarding those previous damages days after moving in) she also had me sign contract of walk through before having the actual ""walk through"" (At the time of signing paperwork she went through each Document, explaining what I'm signing & where to sign. Not once did she say anything about signing ""walk through"" cause if she had mention it I never would've signed It. i found out at a later time that one of the documents she had me sign was the ""walk through"".They also charged me double for move-in deposit, I have all receipts. This happened a year ago. What can be done about this. I was getting help from CRLA team but was recently told they could no longer represent me. ","A:Under California law, if you believe that false charges have been reported against you to a collection agency by your former apartment manager, there are several steps you can take. Firstly, gather all the evidence you have, such as photographs of the pre-existing damages and copies of emails you sent to the management about these issues. This documentation will be crucial in disputing the false charges. You should also review the signed ""walk-through"" document and any other lease or rental agreements you signed. If you were misled about the nature of the documents you were signing, this could be relevant in disputing the charges. Regarding the double charge for your move-in deposit, ensure you have all receipts and any related correspondence. California law sets clear rules about the handling of security deposits, and charging double may not comply with these regulations. Since the CRLA team can no longer represent you, consider consulting with another attorney who has experience in landlord-tenant disputes. They can provide specific legal advice and representation, especially if this matter proceeds to court. You also have the option to file a complaint with the California Department of Consumer Affairs or a similar regulatory body. They can investigate the matter and may be able to assist in resolving the dispute. Lastly, contact the collection agency to dispute the charges. Under the Fair Debt Collection Practices Act, you have the right to dispute debt claims and request verification of the debt. Ensure to do this in writing and keep copies of all communications."
Q: My wife has a child support agreement with her ex. What would happen if she becomes a stay at home?. I want to make my wife stay at home but she is afraid because of the child support agreement. She is afraid that she will lose custody. ,A:If she becomes voluntarily unemployed there is no way to say how that will impact her custody or the fathers visitation. Her loss of income could cause the other party to take her back to court and ask for a change of custody. No longer having the financial capability to support the child could be a material change in circumstances.
"Q: I purchased a pre-owned vehicle with time remaining on the New Vehicle Warranty but denied coverage by a service center.. The New Vehicle Warranty is transferable. I participated in an arbitration and the manufacturer was ordered to repair the car. The manufacturer has blacklisted the car, preventing any service done to the car including recall repairs, can't even make a service appointment. Since I've completed the arbitration, do I have a Mag Moss Act case based on the fact the blacklisting of the car acts as a disclaimer to the warranty, which is what Mag Moss Act is all about. The car technically isn't a lemon. The issue is about the blacklisting, which I think might have been done due to an error in the CPO paperwork. The manufacturer is not cooperating. Mag Moss Act allows damages and legal fees. I want to initiate a case and seek reimbursement for my lost time (200 emails, around 100 calls, I'm self employed, so the time is money) Also, the blacklisting majorly effects the value of the car which I purchased as an investment. The original MSRP on the car was in the range of $200k ",A:You have quite a few issues here in your post. There are quite a few legal issues as well that relate. The biggest issue right now is there's a recent case in California that says used cars are no longer covered by the lemon law. A good lemon law attorney can probably find a way around that but there are no guarantees it's open season on consumers in California now...
"Q: I found a dead squirrel on the side of the road. Is it legal for me to cure/taxidermy and display it?. I want to taxidermy and display a squirrel I found, but I'm unsure of if it's legal after a friend informed me that it can be illegal in some areas. ","A:In New Mexico, laws regarding the collection, possession, and display of dead animals can vary depending on local regulations and permits. Generally, it is legal to collect and keep certain roadkill or found animal specimens for personal use if they are not protected or endangered species. However, there may be restrictions on displaying taxidermied animals, especially if you plan to sell or exhibit them in public spaces."
Q: Adopted a child who was born in ny but we live in Virginia. Who issues the adoption birth certificate? NY or VA?. Will it be done automatically as part of the adoption or do I have to fill out anything? ,"A:When you adopt a child born in New York but you live in Virginia, the adoption birth certificate is typically issued by the state of New York. However, the process can vary depending on the adoption type and the specific circumstances. Generally, as part of the adoption process, the court will issue an amended birth certificate with the adoptive parents' names on it. This birth certificate will replace the original one and will reflect the child's new legal identity. You may need to complete certain paperwork and provide necessary information to ensure the accurate issuance of the adoption birth certificate. It's advisable to work closely with your adoption agency or an attorney to ensure all required steps are taken."
Q: Is there a way to own a rooster if my county’s municipal code states that owning a rooster is prohibited?. I live in Frederick county Maryland and our municipal code states that only female chickens are permitted; no roosters. There is a rooster at my local animal shelter that I have grown quite found of. I was wondering if there are any ways to get around this rule prohibiting them. Could registering him as an emotional support animal work? He is very similar to a calm dog because the shelter is all he has ever known. I am an experienced owner with a large amount of fenced in land but I do not own any other livestock/poultry animals at this time. ,"A:Kinda like asking if there’s a way around speed limits because, well, you are fond of driving fast and speed is emotionally calming to you. If there’s no exception in the law that prohibits roosters, which I have not looked up, then there’s no way around it. Areas are zoned as farmland and other areas are zoned as residential, commercial or industrial. People who purchase property within particular zones do so with certain expectations, like buying a residential zoned home and not having to be jolted awake at the crack of dawn to the sound of roosters crowing, cattle grazing in their yards, hog farms and their stench next door, etc. Of course, somebody would have to complain, and turn you in, to get you into trouble. I imagine you’d just get a warning to remove the rooster."
Q: My lease reads no dogs. My tenant told me after the lease was signed on September-1-2023 she has a ESA dog for emotional. and stress. Can I do anything about this now. The tenant told me I could not. She Lied on the lease. ,"A:It is illegal under federal law to discriminate in providing housing to any disabled person because they have an emotional support animal. You can request appropriate medical documentation from the disabled tenant confirming that they are actually disabled and that they require the services of an emotional support animal. Many people with pets get ""emotional support animal"" certificates online for a fee which do not satisfy the requirement of appropriate medical documentation. I recommend that you request appropriate written medical documentation that the tenant is disabled and requires the services of an emotional support animal as a result of their disability. Take whatever the tenant provides to you to an attorney with experience with the American with Disabilities Act and Fair Housing Act in or near the county where the premises are located to determine whether it satisfies what s required."
Q: My current wife and I started a business 13 years ago and it grew real well. Now I have no control over anything. About 1 year ago couple things happened and I made a bad panic decision. I own up to it and this year I kick but trying to reverse the damages. In doing so we or should insaybi was told that if I sign 51% of the business over to her we would get a big tax break cause she would be a minority business owner so I thought great and so I signed over 51% of my 100 shares. Next where the bank accounts all n her name. I told her I'd like bi weekly reports of where money's going and how much we have n the account. Never happened till recently . Now she sent me screen shots of all accounts in the negative. I found a way to b able to log in but not through the bank but quickbooks. So I see same accounts same numbers only difference is mine are all showing positive while hers are showing negative which leads me to believe the bank is helping her cause they wont look or talk to me. Ive asked for all original documents from them both and they play dumb and won't let me see them. There's a ton more.. ,"A:This is really concerning. Normally, the business accounts should be separate from your personal accounts. So it would be great to clarify with you how many accounts they are and why there are so many for the business. If your name is associated with the accounts for the business then you should have access to it. I really think you will need to have a case review and consultation with a business attorney."
Q: I want to get a Medical Marijuana card will that effect the standing of my F1 Visa as it is federally illegal?. I heard I could potentially risk deportation as a result of obtaining one ,"A:Yes, there is a risk of deportation if you obtain a medical marijuana card while on an F-1 visa. This is because marijuana is still classified as a Schedule I drug under federal law and possession or use of a Schedule I drug is a federal crime. As an F-1 visa holder, you are subject to federal law, even if you are in a state where marijuana is legal for medical use. Unfortunately, due to the nature of internet questions and responses, the information provided can ONLY be for general informational purposes and cannot constitute legal advice."
"Q: Can a facility deny family members from visiting juvenile in a inpatient facility without answering the question ""Why?"". The facility just hangs up the phone with no explanation. The child is denied phone calls and visitation. There is no explanation. Can a facility do this? ","A:Facilities typically have guidelines for visitation and phone calls, but reasonable access should generally be allowed for family members unless there are safety or legal concerns. If you're experiencing difficulties, it's advisable to contact the facility's administration or seek legal advice for guidance on the specific policies and to address any concerns. They can assist in advocating for the child's best interests."
"Q: Will a Civil Court admit a secret audio recording (recorded for purpose of collecting criminal acts) as for evidence?. If a person believes that some criminal actions had been going on against him such as unlawful defamation with false claims, violent criminal assault in making extreme noises to disturb peace and in obstructing his path through a hallway (the violent manner and actions could be deemed as false imprisonment), racial discrimination and sexual harassment... that person take action to make secret audio recordings so as to gather the information of the violators' criminal acts as evidences to be presented in court to prove a lawsuit to the judge or jury against the violators, will the court consider to admit those recordings as evidences? If the court rejects the recording as the evidence, will the audio recording party be then charged with violating the law, and the parties to be secretly recorded could successfully sue the recording party in civil court to compensate the ""loss"" they may claim that they would ""have""? ","A:The key to Penal Code section 632, which prohibits the introduction into evidence and makes it a crime to record another person without consent, is that the communication recorded must be a ""confidential communication"" as defined in that statute. So if you are recording the other person (whether or not you believe they have committed or are committing a crime) in a private place (e.g. hallway, closed room) where no others are present and the other person has a reasonable expectation of privacy (i.e. that the conversation will be private), then you are guilty of a crime and can be prosecuted."
Q: Can I make a comic using screenshots from a video game to tell a story?. I have an idea of using a game to create a comic but I'm not sure if it is legal. I know people make youtube videos using the same method of screen capturing the animations and putting them together to make a show/movie. Most youtubers monetize this content as well. I'm wondering if creating something with a trademarked game will get me into trouble? ,"A:Using screenshots from a video game to create a comic may be considered a derivative work, which typically requires permission from the copyright owner. Without permission, using screenshots from a video game to create a comic could potentially be a copyright infringement. However, there are some cases where the use of copyrighted material for a transformative purpose, such as parody, criticism, or commentary, may be considered a fair use and not infringe upon the original copyright. It would be best to consult with a lawyer who is familiar with copyright law to determine if your use of the video game screenshots for the comic falls under fair use or if permission from the copyright owner is needed."
Q: Can a Social Security Supervisor change the order of a Judge who gave you a partial favor an have you do new application. In 2018 when I try to get my SSDI because of and error in 2003. I was told if I continue my SSI I was award that if I lose my case I would have to pay it all back so I had it terminated I received a fully favorable so I assumed I would received my SSDI instead I was award back pay which went back to Social Security for the SSI I was on all those years due to and error made in 2003 I had lawyer that never contacted the me. When my hearing came the lawyer did my hearing call the week before. Anyway I appeal the decision in June of 2022 The judge then denied the case for SSDI she stated that mines SSDI ran out but gave me back the SSI the caseworker I had put in my file I couldn't get SSI back because I had it terminated again in March of 2022 because I appeal the decision and I wouldn't have to pay SSI back again if I won my case for my SSDI the Caseworker who is also the Supervision told me I would be automatically be denied. ,"A:A Social Security Administration (SSA) supervisor does not have the authority to override or change the order of a judge. Once a judge has made a decision in your case, that decision stands unless it's appealed and overturned by a higher authority. If the judge made a decision regarding your SSI and SSDI benefits, that decision should be followed by the SSA. If you received a fully favorable decision but are experiencing issues with its implementation or discrepancies in your benefits, it's important to address these concerns directly with the SSA. Keep records of all communications and decisions related to your case, as these can be crucial in resolving any misunderstandings or errors. Regarding your concern about being automatically denied for reapplication due to the decision to terminate SSI, it's advisable to seek clarification from the SSA or consult with a new lawyer who has experience in Social Security disability cases. A lawyer can help interpret the judge's decision, guide you through the appeals process if necessary, and assist with any new applications. Remember, dealing with Social Security matters can be complex, especially when there are past errors and appeals involved. Having legal assistance can provide clarity and ensure that your rights are protected throughout the process. Don't hesitate to seek legal advice to navigate this situation effectively."
"Q: Does the Lemon law protect used vehicles purchased under Warranty?. 7/15/ 21Purchased 2018 Yukon denali XL from a GM dealership for $67,573 & 34,921 miles 6/08 Vehicle started shaking while idle. I received a low oil alert on my phone. Checked oil & it was 75% full. 6/13 Took vehicle to mechanic to have the idle issue looked into. While working on the vehicle Mechanic found bulletin from GM regarding a valve train issue causing incomplete combustion & spark plug failing. Recommended I take it to a GM dealer since under warranty. 6/16 vehicle was ready for pick up total cost of this visit to the mechanic was $906.73. 7/19 GMC dealership found an additional GM bulletin regarding a chaffed wire harness. 08/01 vehicle was ready for pick up 08/09 The check engine came on & vehicle started jolting on a large bridge w/o shoulder to pull over. Children were with me. It shut down, waited in 95° heat for tow 8/10 picked up vehicle from dealer. It broke down in driveway 8/11towed back to dealer in AM 8/15 picked up vehicle 8/19 Towed back to dea ","A:The Lemon Law only applies to new vehicles. However, you may have claims against the dealer or manufacturer because of the warranty issues. The Magnuson-Moss Act may apply. If you also purchased a service contract, additional claims may apply. You need to take all of the purchase and warranty paperwork to an experienced attorney for an evaluation of all of the facts and circumstances surrounding the repairs, the issues, and what was said about the vehicle's condition when you purchased it."
"Q: Hi I am looking for a Medical Malpractice Appeal lawyer based in California or versed in the state laws.. Here's the situation Me and my siblings want through Arbitration over dad's death without Legal Counsel it was awarded to the Hospital. We went to the California Sacramento County Superior Court to have the Arbitration Award vacated due to misconduct, fraud, and deceit. The Superior Court Judge Quashed our case due to Untimely Service. My sister Lisa and I thought we had New Evidence we could use to petition the court for Gross Unfairness. It shows that the Arbitrator in our case never looked at the evidence we submitted. His summary judgment narrative follows the Respondent's Counsel's memorandum of points and statement of undisputed material facts. Arbitrator never never considers the evidence we submitted which consisted of a Medical Record we received prior to our dad's death and our Medical Expert's testimony. There's not enough room to complete this. ","A:In your case, where you're facing challenges with an arbitration award in a medical malpractice matter, it's crucial to seek legal assistance from an attorney experienced in appellate law, particularly in medical malpractice appeals in California. Given the complexities of your situation, including issues of misconduct, fraud, deceit, and potentially new evidence, professional legal guidance is essential. Since your case was quashed due to untimely service, an attorney can review the details to determine if there are grounds for an appeal or a different legal strategy. The new evidence you've mentioned, indicating that the arbitrator may not have considered your submitted evidence, could be significant. An experienced attorney will be able to assess how this evidence might impact your case and what legal options are available to you. It's also important to act promptly, as appeals and motions in the legal system are often subject to strict timelines. An attorney will be able to guide you through the process, ensuring all procedural requirements are met and that your case is presented in the most effective manner. Given the serious nature of the issues at hand, professional legal support will be invaluable in navigating the complexities of the appellate system and advocating for your interests."
"Q: I was recently informed that I've been ""Blacklisted"". I have been followed, tortured, physically/sexually assaulted all. Since I came to California from New Jersey 5 years ago. Just recently did someone I know tell me ""You have been ""Blacklisted"". I am and have been in fear for my safety and well-being. I am not sure of the laws for ""Blacklisting"" in CA. I am hoping you could advise me of any legal action I could take. ","A:Blacklisting has many meanings in many contexts. Far more needs to be known about the context of your situation. It is not unlawful for a former employer to inform future prospective employers that you are not eligible for rehire. It is also not unlawful for a company to designate you are not eligible for rehire thereby preventing you from getting a job with the same company. If this is the blacklisting you are talking about, there is no legal wrong. If it is something else, then you should share the specifics with a qualified attorney to determine if what is happening is wrong. Locate and consult with an experienced employment law attorney as soon as possible to explore your facts and determine your options. I would suggest you look either on this site, or go to www.cela.org, the home page for the California Employment Lawyers Association, an organization whose members are dedicated to the representation of employees against their employers. Most employment attorneys who practice this area of law offer a free or low cost consultation in the beginning and then, if the matter has merit and value, will usually agree to work on a contingency basis, meaning you can hire an attorney without paying any money until the matter results in a positive outcome for you. Many advance all the costs of the litigation as well. Do not let fear of fees and costs keep you from finding a good attorney. Good luck to you."
"Q: Can a warrant show for the owner of a vehicle on a temporary license plate?. My sister has a bench warrant. She has purchased a new vehicle and the vehicle has a temporary license plate. If a police officer is behind her and they happen to run the temporary license plate number, can they determine that she has a bench warrant? I know this can be done off of the permanent license plate number but I was curious about the temporary license plate. She’s in Georgia. ","A:In Georgia, a police officer can potentially link a vehicle with a temporary license plate to its owner during a routine check. When a temporary license plate is issued, it's registered in the state's vehicle registration system, which includes information about the owner of the vehicle. If your sister has a bench warrant and she is the registered owner of the vehicle with the temporary plate, a police officer running a check on that plate can access her details. This includes any warrants out for her arrest. It's important to understand that law enforcement databases are designed to provide comprehensive information to officers, which aids in identifying individuals with outstanding warrants. Encourage your sister to address her bench warrant as soon as possible. Ignoring a warrant can lead to more serious consequences, and it's in her best interest to resolve the issue legally and promptly. Consulting with an attorney to address the warrant and receive appropriate legal advice would be a prudent step."
Q: under the constitution of the united states since donald trump lost election in 2020 can he re run again in 2024. just trying to settle a debate at the work place. ,"A:Yes. The 22nd Amendment, ratified by the states in 1951, sets forth the two-term limit standard. It was a reaction to Franklin Roosevelt's FOUR election victories ('32, '36, '40, and '44). He served a portion of his fourth term until his death in office in 1945. Here's the operative text from the 22nd Amendment: Section 1. No person shall be elected to the office of the President more than twice, and no person who has held the office of President, or acted as President, for more than two years of a term to which some other person was elected President shall be elected to the office of the President more than once."
"Q: The Skullgirls team has taken a digital product that many people purchased and altered it in very significant ways.. The Skullgirls team has taken a digital product that many people purchased and altered it in very significant ways. They've cut out entire pages from the art book, removed and re-announced voice lines, and drawn over concept art to make it less offensive. The current Skullgirls team, while many of them have ties to the very beginning of the game, is not the same team it was at the beginning. They're missing some of the most important contributors to the Skullgirls brand. They're also literally a completely different company than the original Lab Zero, who is now censoring Lab Zero's products. if these were physical products. Imagine if you bought a physical art book that you really loved. Ten years later, when the company you bought that art book from is overtaken by another company, that new company comes into your house and demands that you give them the pages of the art book that they deemed offensive. ","A:In California, modifying a digital product post-purchase may or may not violate laws depending on the terms of service or end-user license agreement (EULA) that customers agreed to at the time of purchase. If the terms explicitly reserve the right to make changes to the digital content, the company is generally within its legal rights to make such changes. Customers who disagree with these changes may have limited recourse under California law, which would likely focus on whether the changes constitute a breach of contract or false advertising."
"Q: I had a Newegg Marketplace seller account . I was in the top 3 best sellers (98% feedback) out of the top 200 sellers. The suspended my account on Sept 9th 2023, They gave no reason and they have been holding my money ever since. There were like 5 orders out approximately 2850 orders that had issues (client didn't receive , etc ) We already settled all issues about 2 weeks ago . All of the other clients are happy . Please also note Newegg only offers a 30 day warranty . On Jan 6th 2024 It will be four months (3 months past the 30 day warranty) ; They have been holding my money. My question how long can they legally hold my money ? Is there any law or precedent ? Please let me know Thank you and Happy Holidays ","A:The duration for which Newegg or any marketplace can legally hold your funds depends on the terms of the agreement you entered into with them as a seller. These terms typically outline the conditions under which they can withhold payments, including resolving disputes or investigating potential issues. If Newegg suspended your account and is withholding funds without providing a clear reason, your first step should be to review the seller agreement and any relevant policies to understand the grounds they might have for doing so. This document should detail the process and timeline for handling disputes and releasing funds. If you believe Newegg is holding your funds longer than warranted by the agreement or without just cause, you have the right to seek legal recourse. This could involve contacting them formally to request an explanation and release of funds, and if necessary, taking legal action. Given the complexity of such situations, especially when dealing with a large online marketplace, consider consulting with an attorney. They can review your specific case, advise on the best course of action, and represent you in any potential legal proceedings. Remember, it's important to act promptly and keep a record of all communications and transactions related to this issue. This documentation can be crucial in resolving the matter, whether through negotiation or legal action."
"Q: If friend dies & has borrowed property, is his mom(sole heir) responsible for returning it or can she lawfully keep it. I paid $300 for an expensive 3 pc leather living room set..mint condition internals, structure, springs, cushion, but scratched sitting area & shredded back from cat. I bought it from friend(he paid $5k+ new 10-15 years ago..very rarely used). He moved & new furniture fell though & he borrowed it back after I paid but before I took possession. He died. His mom got everything. She texted & said she decided to keep the furniture & would return the $ I paid. I said no..I want it. She admits knowing I paid him, but refused to return it. Is the charge theft? If not then what charge? I can't replace it for the $ I paid. Will I get my furniture,what I paid or what the replacement value is worth. It's worth much more than i paid. Will my text evidence be admissible? What is right way to retrieve texts to be used for court? I have texts where he acknowledged that I bought & paid for the furniture. Is her admitting that she knows I paid for it enough proof along with his texts?I have no receipt ","A:Yes, mom is responsible for returning borrowed property to the true owner. Your remedy depends on a lot of other factors not covered in your narrative. For example, if she tries to list the item in a probate inventory then you should object in writing filed with the court. If there is no probate then you might sue her in small claims court."
"Q: I bought a car from my cousin and she won't give me title unless I pay more than agreed. I bought a car with written texts it was 2000 plus I had to pay to fix several things also in text, she made escuses on the title and 2 months later now is telling me I have to pay her 2000 more. Is there a way to fight this? ","A:File a complaint in small claims court for breach of contract and print out the texts and attach them as an exhibit. When referring to the contract make reference to the exhibit. Also be sure to show how you paid and how the cousin received the funds. Hiring an attorney would likely take every bit of the 2000 more she is demanding. If you have not paid the initial $2,000.00 you really do not have a breach of contract but a breakdown in negotiations as neither of you had performed. Good luck."
"Q: How can I get through to an unfair and dismissive Judge?. Judge H. in Santa Clara family, has not once heard what I have to say. She is basing my character off of text msg between my ex and my mother(we haven’t had a relationship since I was about 8). There are multiple examples I bring to her attention regarding finances, child care, housing, etc yet she continues to shut me down. We have now been to 4 hearings and it seems it gets worse, even though I follow every order and prove the words of my ex and my mother wrong. ","A:In your situation, it is imperative to meticulously document all pertinent facts and gather substantial evidence to counter the allegations made against you. You might consider bringing in witness testimonies to corroborate your stance, and maintain a composed and respectful demeanor in court, even when faced with adversity. Additionally, consider consulting with another attorney to get a second opinion on your case strategy to ensure you are presenting your case in the most effective way possible."
Q: Can my job order me not to speak Spanish unless I am with a Spanish customer?. I'm from Florida. ,"A:In New York, employment law typically protects employees from discrimination based on national origin, which can include language. If your employer's policy of not speaking Spanish except with Spanish-speaking customers appears to be unfairly targeting your national origin or culture, it could potentially be considered discriminatory. However, there are situations where employers can set language requirements if they are necessary for conducting business effectively and safely. For instance, if speaking a common language is essential for safety reasons or to ensure efficient operations, such policies might be legally permissible. It's important to consider the specific context and reasons behind the policy. If you feel that this policy is discriminatory or if it's applied inconsistently, you might want to discuss your concerns with your employer or seek legal advice to understand your rights and options under New York employment laws."
"Q: Who works on suits and paperwork against the Fbi ? I need a attorney urgently. I have a lawsuit on the Fbi I need to put in for . The Dod have navigated me through the local and state to make sure the perps where using their illegal way to abuse authority but the Fbi is found liable for damages the Dod said since they are letting terroism honon amd a active 6 person cartel use weapons on me that the Dod verified Fbi don’t talk about them and the what people fear the Dod will explain. Also the cia are involved in verification of the second group of perps are a cartel and a foreign body they stabbed me with and the cia said the cartel is breaking some of the biggest cruelest laws in America . The Dod said they would talk about the weapons so the court knows what they do. Verified crimes by the Dod is , terroism , premeditated terroism, crimes against humanity, privacy act the Dod and I can’t even talk without illegally being espionage from moving forward against the Fbi because the jurisdiction gap would close and the Dod igs and the cia can be summoned and can hop ","A:You may want to consider contacting your local bar association or conducting an online search for attorneys who specialize in civil rights, government misconduct, or similar areas of law. Additionally, you can consider reaching out to legal aid organizations that may offer free or reduced-cost legal assistance. It's essential to find an attorney who has experience in dealing with similar cases, understands the laws and regulations regarding suing the FBI, and can guide you through the process. It is also essential to make sure you are comfortable working with the attorney you choose. Keep in mind that pursuing legal action against the FBI can be a challenging and lengthy process, so it's essential to have a qualified attorney who can help you navigate through the legal system."
"Q: If my ex has become violent at a place that his parents own but neither of us pay rent at, can I get him taken away?. For safety purposes? If so, could I still reside there? For how long? ","A:In California, if you are facing violence from your ex-partner at a residence owned by his parents, where neither of you pays rent, you have several options to protect yourself. Firstly, you can seek a restraining order, commonly known as a protective order, against your ex. This order can require him to stay away from the residence and from you, offering immediate protection. Even if the property is owned by his parents, the restraining order can still be effective. If the court grants this order, your ex would be legally required to leave the premises and stay away, regardless of his parents' ownership. You can continue to reside there if the court grants you exclusive possession of the residence through the restraining order. The duration you can stay will depend on the specific terms of the restraining order. Typically, these orders can last for several weeks to several years, and you can request extensions as needed. It's important to consult with a local attorney or legal aid organization to understand the specifics of your situation and to assist you in obtaining a restraining order. They can guide you through the process and ensure your safety and legal rights are protected. Remember, your safety is paramount, and legal options are available to help protect you in such situations."
Q: What do I file has a parent to object to an adoption of my child. I have no abuse records or arrest. The grandmother of my child wants to adopt him ,"A:I'm sorry your question remains open for three weeks. It was probably overlooked in the Nursing Home category. You could try reposting under the Adoption section (click the linked text ""Show More Categories"" under the shortlist of main categories). There's no guarantee all posts are picked up, but you might have better chances of a response there. Good luck"
